CAS,MolecularWeight
4221-98-1,136.2340
512-13-0,154.2493
489-40-7,204.3511
23986-74-5,204.3511
489-86-1,222.3663
1117-61-9,156.2652
2216-52-6,156.2652
15892-23-6,74.1216
15932-80-6,152.2334
10138-32-6,166.2170
23726-93-4,190.2814
28069-72-9,140.2227
71172-26-4,208.2536
24720-09-0,192.2973
18409-17-1,128.2120
3239-35-8,238.3657
33046-81-0,140.2227
79-77-6,192.2973
14898-79-4,74.1216
4221-99-2,74.1216
1576-95-0,86.1323
84060-80-0,182.2594
21944-98-9,182.3025
6191-71-5,114.1855
3239-37-0,238.3657
53398-85-9,184.2753
76238-22-7,184.2753
515-69-5,222.3663
472-97-9,222.3663
941-98-0,170.2072
68039-35-0,246.3877
7779-30-8,206.3239
23696-85-7,190.2814
1646-26-0,160.1693
774-55-0,174.2390
122-84-9,164.2011
53834-70-1,152.2334
3910-35-8,236.3514
34764-02-8,230.3868
688-82-4,188.3071
3658-93-3,174.2805
534-15-6,90.1210
151-05-3,192.2542
41199-19-3,194.3132
91-16-7,138.1638
13851-11-1,196.2860
1222-05-5,258.3984
16356-11-9,150.2606
495-76-1,152.1473
470-67-7,154.2493
21112-37-8,194.2701
18679-18-0,196.2860
13786-79-3,220.3505
67952-57-2,172.2646
76-22-2,152.2334
112-45-8,168.2759
112-38-9,184.2753
6707-60-4,256.3810
123-69-3,252.3923
1193-81-3,128.2120
112-30-1,158.2811
5240-32-4,166.2170
1639-09-4,132.267
4798-44-1,100.1589
95-13-6,116.1598
60899-29-8,188.3086
1203-17-4,188.3086
4747-07-3,116.2013
94291-50-6,148.266
1076-56-8,164.2441
10198-23-9,196.2860
21129-27-1,156.2652
21964-44-3,142.2386
111-87-5,130.2279
3391-86-4,128.2120
4312-99-6,126.1962
2442-10-6,170.2487
616-25-1,86.1323
1629-58-9,84.1164
579-07-7,148.1586
10415-87-9,178.2707
71159-90-5,170.315
112-70-9,200.3608
107-93-7,86.0892
2810-04-0,156.202
5947-36-4,152.2334
2226-05-3,166.2600
4359-47-1,172.2646
2110-18-1,197.2756
60047-17-8,170.2487
6931-54-0,152.2334
4437-20-1,226.315
4501-58-0,152.2334
7392-19-0,154.2493
2408-37-9,140.2227
13351-61-6,164.2441
7416-35-5,154.2493
3054-92-0,130.2279
1124-11-4,136.1943
14667-55-1,122.1677
2416-94-6,136.1910
513-85-9,90.1210
18138-04-0,150.2209
15707-24-1,136.1943
526-75-0,122.1644
5910-89-4,108.1411
13623-11-5,127.207
527-60-6,136.1910
18409-21-7,154.2493
62346-96-7,178.2277
108-47-4,107.1531
105-67-9,122.1644
5406-58-6,206.2808
13851-06-4,210.3126
41239-48-9,128.2120
4077-47-8,142.1525
123-32-0,108.1411
95-87-4,122.1644
141-13-9,210.3556
432-25-7,152.2334
472-66-2,166.2600
473-54-1,154.2493
1125-21-9,152.1904
116-26-7,150.2176
123-18-2,184.3184
91-10-1,154.1632
108-82-7,144.2545
106-72-9,140.2227
1879-00-1,154.2493
673-84-7,136.2340
108-50-9,108.1411
576-26-1,122.1644
68419-46-5,154.2493
32974-92-8,150.1778
23787-80-6,136.1512
1122-62-9,121.1366
551-93-9,135.1632
78-92-2,74.1216
78-93-3,72.1057
3724-65-0,86.0892
90-42-6,180.2866
4442-79-9,128.2120
21835-00-7,126.1531
4884-24-6,152.2334
693-54-9,156.2652
3913-71-1,154.2493
6175-49-1,184.3184
4826-62-4,182.3025
97-95-0,102.1748
104-76-7,130.2279
15707-23-0,122.1677
27538-09-6,142.1525
27538-10-9,142.1525
15679-12-6,127.207
13360-64-0,122.1677
88-09-5,116.1583
3208-16-0,96.1271
123-05-7,128.2120
103-09-3,172.2646
13925-00-3,108.1411
1192-62-7,110.1106
543-49-7,116.2013
5921-82-4,158.2380
